@ Pointer Table mapping: cid → label_cid (4 digits each)
@ Each cid in [0, 2097] maps to a label_cid that has actual data.
@ When cid != label_cid, this is alt-art / shared description.
@ Format: "<cid> <label_cid> <comment>"

0000 0000  (dummy)
0093 0093  Reaper of the Cards
0094 0094  King of Yamimakai
0095 0095  Barox
0096 0096  Metal Guardian
0097 0097  Catapult Turtle
0098 0098  Gyakutenno Megami
0099 0099  Mystic Horseman
0100 0100  Rabid Horseman
0101 0101  Crass Clown
0102 0102  Armored Zombie
0103 0103  Dragon Zombie
0104 0104  Clown Zombie
0105 0105  Pumpking the King of Ghosts
0106 0106  Battle Warrior
0107 0107  Wings of Wicked Flame
0108 0108  Mask of Darkness
0109 0109  Job-Change Mirror
0110 0110  Curtain of the Dark Ones
0111 0111  Kageningen
0112 0112  Graveyard and the Hand of Invitation
0113 0113  Goddess with the Third Eye
0114 0114  Hero of the East
0115 0115  That Which Feeds on Life
0116 0116  Dark Gray
0117 0117  White Magical Hat
0118 0118  Kamionwizard
0119 0119  Nightmare Scorpion
0120 0120  Spirit of the Books
0121 0121  Supporter in the Shadows
0122 0122  Trial of Nightmare
0123 0123  Dream Clown
0124 0124  Sleeping Lion
0125 0125  Yamatano Dragon Scroll
0126 0126  Faith Bird
0127 0127  Nemuriko
0128 0128  Weather Control
0129 0129  The 13th Grave
0130 0130  Charubin the Fire Knight
0131 0131  Mystical Capture Chain
0132 0132  Fiend's Hand
0133 0133  Witty Phantom
0134 0134  Dragon Statue
0135 0135  Blue-Eyed Silver Zombie
0136 0136  Toad Master
0137 0137  Spiked Snail
0138 0138  Flame Manipulator
0139 0139  Necrolancer the Timelord
0140 0140  Djinn the Watcher of the Wind
0141 0141  The Bewitching Phantom Thief
0142 0142  Temple of Skulls
0143 0143  Monster Egg
0144 0144  The Shadow Who Controls the Dark
0145 0145  Lord of the Lamp
0146 0146  Rhaimundos of the Red Sword
0147 0147  The Melting Red Shadow
0148 0148  Dokuroizo the Grim Reaper
0149 0149  Fire Reaper
0150 0150  Larvas
0151 0151  Hard Armor
0152 0152  Firegrass
0153 0153  Man Eater
0154 0154  Dig Beak
0155 0155  M-Warrior #1
0156 0156  M-Warrior #2
0157 0157  Lisark
0158 0158  Lord of Zemia
0159 0159  The Judgement Hand
0160 0160  Mysterious Puppeteer
0161 0161  Darkfire Dragon
0162 0162  Dark King of the Abyss
0163 0163  Spirit of the Harp
0164 0164  Armaill
0165 0165  Dark Prisoner
0166 0166  Hurricail
0167 0167  Fire Eye
0168 0168  Monsturtle
0169 0169  Claw Reacher
0170 0170  Phantom Dewan
0171 0171  Arlownay
0172 0172  Dark Shade
0173 0173  Masked Clown
0174 0174  Lucky Trinket
0175 0175  Genin
0176 0176  Eyearmor
0177 0177  Fiend Reflection #2
0178 0178  Gate Deeg
0179 0179  Synchar
0180 0180  Fusionist
0181 0181  Akakieisu
0182 0182  LaLa Li-oon
0183 0183  Turtle Tiger
0184 0184  Terra the Terrible
0185 0185  Doron
0186 0186  Arma Knight
0187 0187  Happy Lover
0188 0188  Penguin Knight
0189 0189  Petit Dragon
0190 0190  Frenzied Panda
0191 0191  Archfiend Marmot of Nefariousness
0192 0192  Phantom Ghost
0193 0193  Dorover
0194 0194  Twin Long Rods #1
0195 0195  Droll Bird
0196 0196  Petit Angel
0197 0197  Winged Cleaver
0198 0198  Hinotama Soul
0199 0199  Kaminarikozou
0200 0200  Meotoko
0201 0201  Aqua Madoor
0202 0202  Kagemusha of the Blue Flame
0203 0203  Flame Ghost
0204 0204  Dryad
0205 0205  B. Skull Dragon
0206 0206  Two-Mouth Darkruler
0207 0207  Solitude
0208 0208  Masked Sorcerer
0209 0209  Kumootoko
0210 0210  Midnight Fiend
0211 0211  Trap Master
0212 0212  Fiend Sword
0213 0213  Skull Stalker
0214 0214  Hitodenchak
0215 0215  Wood Remains
0216 0216  Hourglass of Life
0217 0217  Rare Fish
0218 0218  Wood Clown
0219 0219  Madjinn Gunn
0220 0220  Dark Titan of Terror
0221 0221  Beautiful Headhuntress
0222 0222  Guardian of the Labyrinth
0223 0223  Yashinoki
0224 0224  Vishwar Randi
0225 0225  The Drdek
0226 0226  Dark Assailant
0227 0227  Candle of Fate
0228 0228  Water Element
0229 0229  Dissolverock
0230 0230  Meda Bat
0231 0231  One Who Hunts Souls
0232 0232  Root Water
0233 0233  Master & Expert
0234 0234  Water Omotics
0235 0235  Hyo
0236 0236  Enchanting Mermaid
0237 0237  Nekogal #1
0238 0238  Fairywitch
0239 0239  Embryonic Beast
0240 0240  Prevent Rat
0241 0241  Dimensional Warrior
0242 0242  Stone Armadiller
0243 0243  Beastking of the Swamps
0244 0244  Ancient Sorcerer
0245 0245  Lunar Queen Elzaim
0246 0246  Wicked Mirror
0247 0247  The Little Swordsman of Aile
0248 0248  Rock Ogre Grotto #2
0249 0249  Wing Egg Elf
0250 0250  The Furious Sea King
0251 0251  Princess of Tsurugi
0252 0252  Unknown Warrior of Fiend
0253 0253  Sectarian of Secrets
0254 0254  Versago the Destroyer
0255 0255  Wetha
0256 0256  Megirus Light
0257 0257  Mavelus
0258 0258  Ancient Tree of Enlightenment
0259 0259  Green Phantom King
0260 0260  Ground Attacker Bugroth
0261 0261  Ray & Temperature
0262 0262  Gorgon Egg
0263 0263  Petit Moth
0264 0264  King Fog
0265 0265  Protector of the Throne
0266 0266  Mystic Clown
0267 0267  Mystical Sheep #2
0268 0268  Holograh
0269 0269  Tao the Chanter
0270 0270  Serpent Marauder
0271 0271  Ogre of the Black Shadow
0272 0272  Moon Envoy
0273 0273  Fireyarou
0274 0274  Psychic Kappa
0275 0275  Masaki the Legendary Swordsman
0276 0276  Dragoness the Wicked Knight
0277 0277  Bio Plant
0278 0278  One-Eyed Shield Dragon
0279 0279  Cyber Soldier of Darkworld
0280 0280  Wicked Dragon with the Ersatz Head
0281 0281  Sonic Maid
0282 0282  Kurama
0283 0283  Axe of Despair
0284 0284  Insect Armor with Laser Cannon
0285 0285  Black Pendant
0286 0286  Horn of Light
0287 0287  Horn of the Unicorn
0288 0288  Elegant Egotist
0289 0289  Stop Defense
0290 0290  Malevolent Nuzzler
0291 0291  Dragon Capture Jar
0292 0292  Forest
0293 0293  Wasteland
0294 0294  Mountain
0295 0295  Sogen
0296 0296  Umi
0297 0297  Yami
0298 0298  Dark Hole
0299 0299  Raigeki
0300 0300  Mooyan Curry
0301 0301  Red Medicine
0302 0302  Goblin's Secret Remedy
0303 0303  Soul of the Pure
0304 0304  Dian Keto the Cure Master
0305 0305  Sparks
0306 0306  Ookazi
0307 0307  Tremendous Fire
0308 0308  Swords of Revealing Light
0309 0309  Spellbinding Circle
0310 0310  Dark-Piercing Light
0311 0311  Yaranzo
0312 0312  Kanan the Swordmistress
0313 0313  Takriminos
0314 0314  Stuffed Animal
0315 0315  Super War-Lion
0316 0316  Three-Legged Zombies
0317 0317  Zera The Mant
0318 0318  Flying Penguin
0319 0319  Millennium Shield
0320 0319  Millennium Shield (alt-art)
0321 0321  Fairy's Gift
0322 0322  Black Luster Soldier
0323 0323  Fiend's Mirror
0324 0324  Labyrinth Wall
0325 0325  Jirai Gumo
0326 0326  Shadow Ghoul
0327 0327  Wall Shadow
0328 0328  Labyrinth Tank
0329 0329  Sanga of the Thunder
0330 0330  Kazejin
0331 0331  Suijin
0332 0332  Gate Guardian
0333 0333  Ryu-Kishin Powered
0334 0334  Swordstalker
0335 0335  La Jinn the Mystical Genie of the Lamp
0336 0335  La Jinn the Mystical Genie of the Lamp (alt-art)
0337 0337  Blue-Eyes Ultimate Dragon
0338 0337  Blue-Eyes Ultimate Dragon (alt-art)
0339 0339  Toon Alligator
0340 0340  Parrot Dragon
0341 0341  Dark Rabbit
0342 0342  Bickuribox
0343 0343  Harpie's Pet Dragon
0344 0344  Pendulum Machine
0345 0344  Pendulum Machine (alt-art)
0346 0346  Giltia the D. Knight
0347 0347  Launcher Spider
0348 0347  Launcher Spider (alt-art)
0349 0349  Zoa
0350 0350  Metalzoa
0351 0351  Ocubeam
0352 0352  Monster Eye
0353 0353  Yaiba Robo
0354 0354  Machine King
0355 0355  Metal Dragon
0356 0356  Giga-Tech Wolf
0357 0357  Shovel Crusher
0358 0358  Mechanicalchaser
0359 0359  Blocker
0360 0360  Golgoil
0361 0361  Cyber-Stein
0362 0362  Cyber Commander
0363 0363  Jinzo #7
0364 0364  Thunder Dragon
0365 0365  Kaiser Dragon
0366 0366  Magician of Faith
0367 0367  Goddess of Whim
0368 0368  Water Magician
0369 0369  Ice Water
0370 0370  Waterdragon Fairy
0371 0371  Ancient Elf
0372 0372  Water Girl
0373 0373  Deepsea Shark
0374 0374  Bottom Dweller
0375 0375  7 Colored Fish
0376 0376  Guardian of the Sea
0377 0377  Aqua Snake
0378 0378  Giant Red Seasnake
0379 0379  Kappa Avenger
0380 0380  Kanikabuto
0381 0381  Zarigun
0382 0382  Millennium Golem
0383 0383  Destroyer Golem
0384 0384  Barrel Rock
0385 0385  Minomushi Warrior
0386 0386  Stone Ghost
0387 0387  Kaminari Attack
0388 0388  Tripwire Beast
0389 0389  Bolt Penguin
0390 0390  The Immortal of Thunder
0391 0391  Electric Snake
0392 0392  Punished Eagle
0393 0393  Skull Red Bird
0394 0394  Crimson Sunbird
0395 0395  Armed Ninja
0396 0396  Magical Ghost
0397 0397  Soul Hunter
0398 0398  Vermillion Sparrow
0399 0399  Sea Kamen
0400 0400  Sinister Serpent
0401 0401  Ganigumo
0402 0402  Alinsection
0403 0403  Insect Soldiers of the Sky
0404 0404  Cockroach Knight
0405 0405  Burglar
0406 0406  Pragtical
0407 0407  Ameba
0408 0408  Korogashi
0409 0409  Boo Koo
0410 0410  Flower Wolf
0411 0411  Rainbow Flower
0412 0412  Barrel Lily
0413 0413  Hoshiningen
0414 0414  Maha Vailo
0415 0415  Musician King
0416 0416  Wilmee
0417 0417  Dragon Seeker
0418 0418  Man-Eater Bug
0419 0419  D. Human
0420 0420  Turtle Raccoon
0421 0421  Prisman
0422 0422  Crazy Fish
0423 0423  Bracchio-raidus
0424 0424  Laughing Flower
0425 0425  Bean Soldier
0426 0426  Cannon Soldier
0427 0427  Guardian of the Throne Room
0428 0428  Brave Scizzar
0429 0429  The Statue of Easter Island
0430 0430  Muka Muka
0431 0431  Boulder Tortoise
0432 0432  Fire Kraken
0433 0433  Turtle Bird
0434 0434  Skullbird
0435 0435  Monstrous Bird
0436 0436  The Bistro Butcher
0437 0437  Star Boy
0438 0438  Milus Radiant
0439 0439  Flame Cerebrus
0440 0440  Eldeen
0441 0441  Mystical Sand
0442 0442  Gemini Elf
0443 0442  Gemini Elf (alt-art)
0444 0444  Minar
0445 0445  Kamakiriman
0446 0446  Mechaleon
0447 0447  Mega Thunderball
0448 0448  Niwatori
0449 0449  Corroding Shark
0450 0450  Skelengel
0451 0451  Hane-Hane
0452 0452  Tongyo
0453 0453  Dharma Cannon
0454 0454  Skelgon
0455 0455  Wow Warrior
0456 0456  Griggle
0457 0457  Frog the Jam
0458 0458  Behegon
0459 0459  Dark Elf
0460 0460  Winged Dragon, Guardian of the Fortress #2
0461 0461  The Wandering Doomed
0462 0462  Steel Ogre Grotto #1
0463 0463  Oscillo Hero
0464 0464  Invader from Another Dimension
0465 0465  Lesser Dragon
0466 0466  Needle Worm
0467 0467  Wretched Ghost of the Attic
0468 0468  Great Mammoth of Goldfine
0469 0469  Man-eating Black Shark
0470 0470  Yormungarde
0471 0471  Darkworld Thorns
0472 0472  Anthrosaurus
0473 0473  Drooling Lizard
0474 0474  Trakadon
0475 0475  B. Dragon Jungle King
0476 0476  Little D
0477 0477  Witch of the Black Forest
0478 0478  Giant Scorpion of the Tundra
0479 0479  Abyss Flower
0480 0480  Takuhee
0481 0481  Binding Chain
0482 0482  Mechanical Snail
0483 0483  Greenkappa
0484 0484  Mon Larvas
0485 0485  Living Vase
0486 0486  Tentacle Plant
0487 0487  Beaked Snake
0488 0488  Morphing Jar
0489 0489  Muse-A
0490 0490  Rose Spectre of Dunn
0491 0491  Fiend Reflection #1
0492 0492  Ghoul with an Appetite
0493 0493  Pale Beast
0494 0494  Little Chimera
0495 0495  Violent Rain
0496 0496  Key Mace #2
0497 0497  Tenderness
0498 0498  Penguin Soldier
0499 0499  Fairy Dragon
0500 0500  Obese Marmot of Nefariousness
0501 0501  Liquid Beast
0502 0502  Twin Long Rods #2
0503 0503  Great Bill
0504 0504  Shining Friendship
0505 0505  Bladefly
0506 0506  Hiro's Shadow Scout
0507 0507  Lady of Faith
0508 0508  Twin-Headed Thunder Dragon
0509 0509  Armored Starfish
0510 0510  Marine Beast
0511 0511  Warrior of Tradition
0512 0512  Snakeyashi
0513 0513  The Thing That Hides in the Mud
0514 0514  High Tide Gyojin
0515 0515  Fairy of the Fountain
0516 0516  Amazon of the Seas
0517 0517  Nekogal #2
0518 0518  Witch's Apprentice
0519 0519  Armored Rat
0520 0520  Ancient Lizard Warrior
0521 0521  Maiden of the Moonlight
0522 0522  Night Lizard
0523 0523  Blue-Winged Crown
0524 0524  Amphibious Bugroth
0525 0525  Acid Crawler
0526 0526  Invader of the Throne
0527 0527  Mystical Sheep #1
0528 0528  Disk Magician
0529 0529  Flame Viper
0530 0530  Royal Guard
0531 0531  Gruesome Goo
0532 0532  Whiptail Crow
0533 0533  Kunai with Chain
0534 0533  Kunai with Chain (alt-art)
0535 0535  Magical Labyrinth
0536 0536  Salamandra
0537 0537  Eternal Rest
0538 0538  Megamorph
0539 0539  Metalmorph
0540 0539  Metalmorph (alt-art)
0541 0541  Crush Card
0542 0541  Crush Card (alt-art)
0543 0543  Bright Castle
0544 0544  Shadow Spell
0545 0545  Black Luster Ritual
0546 0546  Zera Ritual
0547 0547  Harpie's Feather Duster
0548 0547  Harpie's Feather Duster (alt-art)
0549 0549  War-Lion Ritual
0550 0550  Beastly Mirror Ritual
0551 0551  Commencement Dance
0552 0552  Hamburger Recipe
0553 0553  Novox's Prayer
0554 0554  House of Adhesive Tape
0555 0555  Acid Trap Hole
0556 0555  Acid Trap Hole (alt-art)
0557 0557  Widespread Ruin
0558 0557  Widespread Ruin (alt-art)
0559 0559  Bad Reaction to Simochi
0560 0560  Reverse Trap
0561 0561  Turtle Oath
0562 0562  Resurrection of Chakra
0563 0563  Javelin Beetle Pact
0564 0564  Garma Sword Oath
0565 0565  Revival of Dokurorider
0566 0566  Fortress Whale's Oath
0567 0567  Performance of Sword
0568 0568  Hungry Burger
0569 0569  Sengenjin
0570 0570  Skull Guardian
0571 0571  Tri-Horned Dragon
0572 0572  Serpent Night Dragon
0573 0573  Cosmo Queen
0574 0574  Chakra
0575 0575  Crab Turtle
0576 0576  Mikazukinoyaiba
0577 0577  Meteor Dragon
0578 0578  Meteor B. Dragon
0579 0579  Firewing Pegasus
0580 0580  Garma Sword
0581 0581  Javelin Beetle
0582 0582  Fortress Whale
0583 0583  Dokurorider
0584 0584  Dark Magic Ritual
0585 0585  Magician of Black Chaos
0586 0586  Slot Machine
0587 0587  Red Archery Girl
0588 0588  Ryu-Ran
0589 0589  Manga Ryu-Ran
0590 0590  Toon Mermaid
0591 0591  Toon Summoned Skull
0592 0592  Relinquished
0593 0593  Thousand-Eyes Idol
0594 0594  Thousand-Eyes Restrict
0595 0595  Steel Ogre Grotto #2
0596 0596  Blast Sphere
0597 0597  Hyozanryu
0598 0598  Alpha The Magnet Warrior
0599 0599  Lord of D.
0600 0600  Red-Eyes Black Metal Dragon
0601 0600  Red-Eyes Black Metal Dragon (alt-art)
0602 0602  Barrel Dragon
0603 0603  Hannibal Necromancer
0604 0604  Panther Warrior
0605 0604  Panther Warrior (alt-art)
0606 0606  Three-Headed Geedo
0607 0607  Gazelle the King of Mythical Beasts
0608 0608  Stone Statue of the Aztecs
0609 0609  Berfomet
0610 0610  Chimera the Flying Mythical Beast
0611 0611  Gear Golem the Moving Fortress
0612 0612  Jinzo
0613 0613  Swordsman of Landstar
0614 0614  Cyber Raider
0615 0615  The Fiend Megacyber
0616 0616  Reflect Bounder
0617 0617  Beta The Magnet Warrior
0618 0618  Big Shield Gardna
0619 0618  Big Shield Gardna (alt-art)
0620 0620  Dark Magician Girl
0621 0620  Dark Magician Girl (alt-art)
0622 0620  Dark Magician Girl (alt-art)
0623 0623  Alligator's Sword
0624 0624  Insect Queen
0625 0625  Parasite Paracide
0626 0626  Skull-Mark Ladybug
0627 0627  Little-Winguard
0628 0628  Pinch Hopper
0629 0629  Blue-Eyes Toon Dragon
0630 0630  Sword Hunter
0631 0631  Drill Bug
0632 0632  Deepsea Warrior
0633 0633  Satellite Cannon
0634 0634  The Last Warrior from Another Planet
0635 0635  Dunames Dark Witch
0636 0636  Garnecia Elefantis
0637 0637  Total Defense Shogun
0638 0638  Beast of Talwar
0639 0639  Cyber-Tech Alligator
0640 0640  Gamma The Magnet Warrior
0641 0641  Time Machine
0642 0642  Copycat
0643 0643  Toon World
0644 0643  Toon World (alt-art)
0645 0645  Gorgon's Eye
0646 0646  Black Illusion Ritual
0647 0647  Brain Control
0648 0648  Negate Attack
0649 0649  Multiply
0650 0650  Lightforce Sword
0651 0651  The Flute of Summoning Dragon
0652 0652  Shield & Sword
0653 0653  Graceful Charity
0654 0654  Chain Destruction
0655 0655  Mesmeric Control
0656 0656  Graceful Dice
0657 0657  Skull Dice
0658 0658  Mind Control
0659 0659  Scapegoat
0660 0660  Amplifier
0661 0661  Card Destruction
0662 0662  Tragedy
0663 0663  Ectoplasmer
0664 0664  Dark Magic Curtain
0665 0665  Insect Barrier
0666 0666  Magic-Arm Shield
0667 0667  Fissure
0668 0668  Trap Hole
0669 0669  Polymerization
0670 0670  Remove Trap
0671 0671  Two-Pronged Attack
0672 0672  Monster Reborn
0673 0673  De-Spell
0674 0674  Pot of Greed
0675 0675  Gravedigger Ghoul
0676 0676  Reinforcements
0677 0677  Castle Walls
0678 0678  Ultimate Offering
0679 0679  Tribute to The Doomed
0680 0680  Soul Release
0681 0681  The Cheerful Coffin
0682 0682  Change of Heart
0683 0683  Solemn Judgment
0684 0684  Magic Jammer
0685 0685  Seven Tools of the Bandit
0686 0686  Horn of Heaven
0687 0687  Just Desserts
0688 0688  Royal Decree
0689 0689  Polymerization
0690 0690  Magical Thorn
0691 0691  Restructer Revolution
0692 0692  Fusion Sage
0693 0693  Sword of Deep-Seated
0694 0694  Block Attack
0695 0695  The Unhappy Maiden
0696 0696  Robbin' Goblin
0697 0697  Germ Infection
0698 0698  Wall of Illusion
0699 0699  Neo the Magic Swordsman
0700 0700  Baron of the Fiend Sword
0701 0701  Man-Eating Treasure Chest
0702 0702  Sorcerer of the Doomed
0703 0703  Last Will
0704 0704  Waboku
0705 0705  Mirror Force
0706 0706  Ring of Magnetism
0707 0707  Share the Pain
0708 0708  Stim-Pack
0709 0709  Heavy Storm
0710 0710  Gravekeeper's Servant
0711 0711  Upstart Goblin
0712 0712  Toll
0713 0713  Final Destiny
0714 0714  Snatch Steal
0715 0715  Chorus of Sanctuary
0716 0716  Confiscation
0717 0717  Delinquent Duo
0718 0718  Fairy's Hand Mirror
0719 0719  Tailor of the Fickle
0720 0720  Rush Recklessly
0721 0721  The Reliable Guardian
0722 0722  The Forceful Sentry
0723 0723  Chain Energy
0724 0724  Mystical Space Typhoon
0725 0725  Giant Trunade
0726 0726  Painful Choice
0727 0727  Snake Fang
0728 0728  Cyber Jar
0729 0729  Banisher of the Light
0730 0730  Giant Rat
0731 0731  Senju of the Thousand Hands
0732 0732  UFO Turtle
0733 0733  Flash Assailant
0734 0734  Karate Man
0735 0735  Giant Germ
0736 0736  Nimble Momonga
0737 0737  Spear Cretin
0738 0738  Shining Angel
0739 0739  Mother Grizzly
0740 0740  Flying Kamakiri #1
0741 0741  Ceremonial Bell
0742 0742  Sonic Bird
0743 0743  Mystic Tomato
0744 0744  Kotodama
0745 0745  Gaia Power
0746 0746  Umiiruka
0747 0747  Molten Destruction
0748 0748  Rising Air Current
0749 0749  Luminous Spark
0750 0750  Mystic Plasma Zone
0751 0751  Messenger of Peace
0752 0752  Michizure
0753 0753  Gust
0754 0754  Driving Snow
0755 0755  Numinous Healer
0756 0756  Appropriate
0757 0757  Forced Requisition
0758 0758  Minor Goblin Official
0759 0759  Gamble
0760 0760  DNA Surgery
0761 0761  The Regulation of Tribe
0762 0762  Backup Soldier
0763 0763  Attack and Receive
0764 0764  Ceasefire
0765 0765  Light of Intervention
0766 0766  Respect Play
0767 0767  Imperial Order
0768 0768  Skull Invitation
0769 0769  Magical Hats
0770 0770  Nobleman of Crossout
0771 0771  Nobleman of Extermination
0772 0772  The Shallow Grave
0773 0773  Premature Burial
0774 0774  Morphing Jar #2
0775 0775  Bubonic Vermin
0776 0776  Twin-Headed Fire Dragon
0777 0777  Darkfire Soldier #1
0778 0778  Mr. Volcano
0779 0779  Darkfire Soldier #2
0780 0780  Kiseitai
0781 0781  Cyber Falcon
0782 0782  Dark Bat
0783 0783  Flying Kamakiri #2
0784 0784  Harpie's Brother
0785 0785  Oni Tank T-34
0786 0786  Overdrive
0787 0787  Buster Blader
0788 0788  Time Seal
0789 0789  Graverobber
0790 0790  Gift of The Mystical Elf
0791 0791  The Eye of Truth
0792 0792  Dust Tornado
0793 0793  Call of the Haunted
0794 0794  Solomon's Lawbook
0795 0795  Enchanted Javelin
0796 0796  Mirror Wall
0797 0797  Windstorm of Etaqua
0798 0798  Valkyrion the Magna Warrior
0799 0799  Alligator's Sword Dragon
0800 0800  Vorse Raider
0801 0800  Vorse Raider (alt-art)
0802 0802  Ring of Destruction
0803 0803  Aqua Chorus
0804 0804  Sebek's Blessing
0805 0805  Anti-Spell Fragrance
0806 0806  Riryoku
0807 0807  Sword of Dragon's Soul
0808 0808  Luminous Soldier
0809 0809  King Tiger Wanghu
0810 0810  Command Knight
0811 0811  Wolf Axwielder
0812 0812  The Illusory Gentleman
0813 0813  Patrician of Darkness
0814 0814  Birdface
0815 0815  Kryuel
0816 0816  Airknight Parshath
0817 0817  Fairy King Truesdale
0818 0818  Serpentine Princess
0819 0819  Maiden of the Aqua
0820 0820  Robotic Knight
0821 0821  Thunder Nyan Nyan
0822 0822  Molten Behemoth
0823 0823  Twin-Headed Behemoth
0824 0824  Injection Fairy Lily
0825 0825  Woodland Sprite
0826 0826  Arsenal Bug
0827 0827  Kinetic Soldier
0828 0828  Jowls of Dark Demise
0829 0829  Souleater
0830 0830  Slate Warrior
0831 0831  Timeater
0832 0832  Mucus Yolk
0833 0833  Servant of Catabolism
0834 0834  Rigras Leever
0835 0835  Moisture Creature
0836 0836  Boneheimer
0837 0837  Flame Dancer
0838 0838  Sonic Jammer
0839 0839  Gearfried the Iron Knight
0840 0840  Humanoid Slime
0841 0841  Worm Drake
0842 0842  Humanoid Worm Drake
0843 0843  Revival Jam
0844 0844  Flying Fish
0845 0845  Amphibian Beast
0846 0846  Rocket Warrior
0847 0847  The Legendary Fisherman
0848 0848  Robolady
0849 0849  Roboyarou
0850 0850  Lightning Conger
0851 0851  Spherous Lady
0852 0852  Shining Abyss
0853 0853  Archfiend of Gilfer
0854 0854  Gadget Soldier
0855 0855  Grand Tiki Elder
0856 0856  The Masked Beast
0857 0857  Melchid the Four-Face Beast
0858 0858  Nuvia the Wicked
0859 0859  Soul Exchange
0860 0860  Mask of Weakness
0861 0861  Curse of the Masked Beast
0862 0862  Mask of Dispel
0863 0863  Mask of Restrict
0864 0864  Mask of the Accursed
0865 0865  Mask of Brutality
0866 0866  Return of the Doomed
0867 0867  Lightning Blade
0868 0868  Tornado Wall
0869 0869  Infinite Dismissal
0870 0870  Fairy Box
0871 0871  Torrential Tribute
0872 0872  Multiplication of Ants
0873 0873  De-Fusion
0874 0874  Jam Breeding Machine
0875 0875  Nightmare's Steelcage
0876 0876  Infinite Cards
0877 0877  Jam Defender
0878 0878  Card of Safe Return
0879 0879  Magic Cylinder
0880 0880  Solemn Wishes
0881 0881  Burning Land
0882 0882  Cold Wave
0883 0883  Fairy Meteor Crush
0884 0884  Limiter Removal
0885 0885  Shift
0886 0886  Insect Imitation
0887 0887  Dimensionhole
0888 0888  Magic Drain
0889 0889  Gravity Bind
0890 0890  Shadow of Eyes
0891 0891  Girochin Kuwagata
0892 0892  Hayabusa Knight
0893 0893  Bombardment Beetle
0894 0894  4-Starred Ladybug of Doom
0895 0895  Gradius
0896 0896  Red-Moon Baby
0897 0897  Mad Sword Beast
0898 0898  Skull Mariner
0899 0899  The All-Seeing White Tiger
0900 0900  Goblin Attack Force
0901 0901  Island Turtle
0902 0902  Wingweaver
